image,n_gt,n_pred,tp,fp,fn,pre_ms,infer_ms,post_ms
robby_ball_far0657.png,1,8,1,7,0,1.504,16.144,0.561
pip_ball_size0116.png,1,8,1,7,0,1.503,16.129,0.458
max_ball_feet0186.png,1,8,1,7,0,1.503,16.127,0.285
IMG_20260512_223335.jpg,1,8,1,7,0,1.501,16.126,0.411
max_ball_moving0064.png,1,8,1,7,0,1.501,16.126,0.446
robby_ball_far0633.png,1,8,1,7,0,1.504,16.126,0.420
oisin_ball_robot0941.png,0,8,0,8,0,1.501,16.126,0.383
eliza_ball_line_50083.png,2,8,2,6,0,1.502,16.127,0.428
bs4-328.png,0,8,0,8,0,1.504,16.127,0.265
IMG_20260512_223027~2.jpg,2,8,1,7,1,1.504,16.126,0.371
IMG_20260512_223347~3.jpg,1,8,1,7,0,1.503,16.126,0.466
robby_ball_far0267.png,1,8,1,7,0,1.504,16.125,0.509
robby_rc16_ball0060.png,1,8,1,7,0,1.501,16.126,0.325
max_ball_moving0464.png,1,8,1,7,0,1.504,16.125,0.550
alfie_lm_ball_line0423.png,1,8,1,7,0,1.502,16.127,0.321
eliza_ball_line_50069.png,2,8,2,6,0,1.503,16.127,0.377
robby_rc16_ball20214.png,0,8,0,8,0,1.505,16.126,0.369
max_ball_bottom0232.png,1,8,1,7,0,1.504,16.126,0.343
eobr228.png,1,8,1,7,0,1.502,16.126,0.557
IMG_20260512_223456~3.jpg,2,8,2,6,0,1.503,16.127,0.542
max_ball_moving0257.png,1,8,1,7,0,1.503,16.127,0.558
oisin_ball_robot0491.png,2,8,2,6,0,1.501,16.126,0.353
len_goalie0193.png,1,8,1,7,0,1.502,16.126,0.379
IMG_20260512_223457.jpg,2,8,2,6,0,1.502,16.126,0.463
eliza_ball_line_10186.png,1,8,1,7,0,1.502,16.126,0.395
IMG_20260512_223325.jpg,1,8,1,7,0,1.504,16.126,0.528
robby_ball_far0414.png,1,8,1,7,0,1.502,16.126,0.528
IMG_20260512_223333.jpg,0,8,0,8,0,1.503,16.126,0.469
IMG_20260512_223430~2.jpg,2,8,2,6,0,1.502,16.126,0.436
eliza_ball_line_30187.png,2,8,2,6,0,1.501,16.126,0.422
eliza_ball_line_30227.png,2,8,2,6,0,1.505,16.127,0.399
max_ball_feet0279.png,1,8,1,7,0,1.503,16.126,0.271
len_goalie0449.png,1,8,1,7,0,1.502,16.127,0.290
pip_ball_bottom0059.png,1,8,1,7,0,1.504,16.126,0.312
IMG_20260512_222114.jpg,1,8,1,7,0,1.502,16.126,0.299
pip_natLight_moving_t0591.png,1,8,1,7,0,1.502,16.127,0.281
alfie_lm_ball_line0499.png,1,8,1,7,0,1.502,16.125,0.240
robby_ball_far0234.png,1,8,1,7,0,1.503,16.127,0.355
robby_ball_line0233.png,1,8,1,7,0,1.505,16.127,0.402
IMG_20260512_223046.jpg,1,8,1,7,0,1.503,16.126,0.318
eliza_ball_line_30015.png,1,8,1,7,0,1.503,16.126,0.361
IMG_20260512_223439.jpg,1,8,1,7,0,1.502,16.127,0.311
IMG_20260512_223451~2.jpg,2,8,2,6,0,1.504,16.127,0.210
ivy_ball_moving0174.png,1,8,1,7,0,1.504,16.126,0.283
alfie_lm_ball_line0435.png,1,8,1,7,0,1.502,16.126,0.259
pip_natLight_moving_t0551.png,0,8,0,8,0,1.503,16.125,0.406
max_ball_moving0415.png,0,8,0,8,0,1.503,16.126,0.451
IMG_20260512_222936~2.jpg,1,8,1,7,0,1.504,16.126,0.307
eliza_ball_line_30048.png,1,8,1,7,0,1.501,16.127,0.380
IMG_20260512_222611.jpg,1,8,1,7,0,1.508,16.125,0.408
pip_ball_bottom0245.png,1,8,0,8,1,1.505,16.125,0.314
max_ball_bottom0316.png,1,8,1,7,0,1.501,16.126,0.322
IMG_20260512_222122~2.jpg,1,8,0,8,1,1.504,16.125,0.241
eliza_ball_line_30155.png,2,8,2,6,0,1.504,16.127,0.437
pip_fp_ball0377.png,0,8,0,8,0,1.503,16.126,0.313
max_ball_feet0310.png,1,8,1,7,0,1.505,16.126,0.282
robby_ball_far0359.png,1,8,1,7,0,1.506,16.127,0.494
