image,n_gt,n_pred,tp,fp,fn,pre_ms,infer_ms,post_ms
robby_ball_far0657.png,1,8,1,7,0,20.982,19.277,1.556
pip_ball_size0116.png,1,8,1,7,0,15.483,16.742,1.392
max_ball_feet0186.png,1,8,1,7,0,19.034,15.236,1.303
IMG_20260512_223335.jpg,1,8,1,7,0,8.239,15.132,1.268
max_ball_moving0064.png,1,8,1,7,0,15.463,15.147,1.277
robby_ball_far0633.png,1,8,1,7,0,14.086,10.647,0.898
oisin_ball_robot0941.png,0,8,0,8,0,9.425,11.397,0.871
eliza_ball_line_50083.png,2,8,2,6,0,11.465,10.459,0.887
bs4-328.png,0,8,0,8,0,8.865,11.103,0.884
IMG_20260512_223027~2.jpg,2,8,1,7,1,4.288,10.954,0.829
IMG_20260512_223347~3.jpg,1,8,1,7,0,4.547,10.749,0.857
robby_ball_far0267.png,1,8,1,7,0,10.034,10.894,0.880
robby_rc16_ball0060.png,1,8,1,7,0,9.842,10.353,0.870
max_ball_moving0464.png,1,8,1,7,0,11.277,10.779,0.877
alfie_lm_ball_line0423.png,1,8,1,7,0,9.663,10.733,0.854
eliza_ball_line_50069.png,2,8,2,6,0,10.923,10.313,0.968
robby_rc16_ball20214.png,0,8,0,8,0,10.467,10.940,0.845
max_ball_bottom0232.png,1,8,1,7,0,9.957,10.827,0.837
eobr228.png,1,8,1,7,0,9.507,10.371,0.888
IMG_20260512_223456~3.jpg,2,8,2,6,0,4.438,13.214,1.341
max_ball_moving0257.png,1,8,1,7,0,16.995,13.409,0.888
oisin_ball_robot0491.png,2,8,2,6,0,10.866,11.099,0.855
len_goalie0193.png,1,8,1,7,0,13.853,10.688,0.868
IMG_20260512_223457.jpg,2,8,2,6,0,4.238,10.469,0.937
eliza_ball_line_10186.png,1,8,1,7,0,13.918,10.892,0.857
IMG_20260512_223325.jpg,1,8,1,7,0,4.574,10.809,0.851
robby_ball_far0414.png,1,8,1,7,0,10.017,10.407,0.851
IMG_20260512_223333.jpg,0,8,0,8,0,4.628,10.376,0.832
IMG_20260512_223430~2.jpg,2,8,2,6,0,4.355,10.375,0.830
eliza_ball_line_30187.png,2,8,2,6,0,11.481,10.799,0.909
eliza_ball_line_30227.png,2,8,2,6,0,10.851,10.335,0.847
max_ball_feet0279.png,1,8,1,7,0,13.878,12.312,0.871
len_goalie0449.png,1,8,1,7,0,14.229,12.778,1.331
pip_ball_bottom0059.png,1,8,1,7,0,13.248,12.800,0.864
IMG_20260512_222114.jpg,1,8,1,7,0,4.769,12.631,0.841
pip_natLight_moving_t0591.png,1,8,1,7,0,8.990,12.874,0.829
alfie_lm_ball_line0499.png,1,8,1,7,0,9.674,12.567,0.847
robby_ball_far0234.png,1,8,1,7,0,10.299,12.886,0.870
robby_ball_line0233.png,1,8,1,7,0,15.748,14.647,1.448
IMG_20260512_223046.jpg,1,8,1,7,0,7.327,14.605,0.960
eliza_ball_line_30015.png,1,8,1,7,0,11.518,13.368,0.890
IMG_20260512_223439.jpg,1,8,1,7,0,4.834,13.993,0.851
IMG_20260512_223451~2.jpg,2,8,2,6,0,4.279,11.063,0.837
ivy_ball_moving0174.png,1,8,1,7,0,12.077,10.323,0.836
alfie_lm_ball_line0435.png,1,8,1,7,0,10.292,13.902,0.840
pip_natLight_moving_t0551.png,0,8,0,8,0,8.752,13.648,1.059
max_ball_moving0415.png,0,8,0,8,0,10.342,13.701,0.864
IMG_20260512_222936~2.jpg,1,8,1,7,0,4.374,13.776,0.844
eliza_ball_line_30048.png,1,8,1,7,0,11.075,13.402,0.877
IMG_20260512_222611.jpg,1,8,1,7,0,4.442,13.364,0.887
pip_ball_bottom0245.png,1,8,1,7,0,12.115,13.867,0.862
max_ball_bottom0316.png,1,8,1,7,0,10.588,13.513,0.858
IMG_20260512_222122~2.jpg,1,8,1,7,0,4.467,13.477,0.875
eliza_ball_line_30155.png,2,8,2,6,0,11.916,13.535,0.875
pip_fp_ball0377.png,0,8,0,8,0,9.509,13.421,0.831
max_ball_feet0310.png,1,8,1,7,0,14.252,13.578,0.854
robby_ball_far0359.png,1,8,1,7,0,10.306,13.360,0.878
len_goalie0438.png,1,8,1,7,0,14.065,13.437,0.854
robby_ball_line0563.png,1,8,1,7,0,14.187,13.455,0.889
IMG_20260512_222120~2.jpg,1,8,1,7,0,4.386,13.467,0.853
alfie_lm_ball_line0477.png,1,8,1,7,0,10.169,13.404,1.069
pip_natLight_ball_30511.png,1,8,1,7,0,9.429,13.514,0.864
eliza_ball_line_30092.png,2,8,2,6,0,11.715,13.435,0.890
bs413.png,1,8,1,7,0,8.602,13.706,0.839
len_goalie0472.png,1,8,1,7,0,14.258,13.666,0.872
bs4-319.png,0,8,0,8,0,8.585,13.654,0.850
IMG_20260512_222558~3.jpg,2,8,0,8,2,4.404,13.424,0.853
IMG_20260512_222507.jpg,1,8,1,7,0,4.835,13.445,1.043
pip_natLight_ball_10301.png,0,8,0,8,0,10.072,13.505,0.881
alfie_lm_ball_line0306.png,1,8,1,7,0,9.765,13.423,1.068
IMG_20260512_223009~2.jpg,1,8,1,7,0,4.511,13.522,0.847
mA369.png,1,8,1,7,0,9.040,13.434,0.856
IMG_20260512_222932.jpg,1,8,1,7,0,4.698,13.410,0.857
bs4-337.png,0,8,0,8,0,8.775,13.561,0.842
alfie_lm_ball_line0279.png,1,8,1,7,0,9.196,13.438,0.852
max_ball_feet0306.png,1,8,1,7,0,13.668,13.439,0.885
max_ball_kickoff0091.png,1,8,1,7,0,13.497,13.440,0.886
IMG_20260512_223021~3.jpg,2,8,2,6,0,4.494,13.408,0.830
IMG_20260512_223431~2.jpg,2,8,2,6,0,4.369,13.421,0.833
IMG_20260512_222928.jpg,1,8,1,7,0,4.589,13.447,0.845
robby_ball_far0527.png,0,8,0,8,0,10.095,13.420,0.854
robby_ball_line0224.png,1,8,1,7,0,13.975,13.435,0.849
mA1033.png,1,8,1,7,0,9.076,13.606,1.513
eliza_ball_line_20065.png,1,8,1,7,0,20.889,13.927,0.865
oisin_ball_robot1031.png,0,8,0,8,0,9.846,13.836,1.401
robby_ball_far0257.png,1,8,1,7,0,12.380,13.474,0.896
oisin_ball_robot0706.png,0,8,0,8,0,10.419,14.207,1.325
alfie_lm_ball_line0038.png,1,8,1,7,0,10.974,13.373,0.830
max_ball_moving0397.png,0,8,0,8,0,11.061,13.491,0.875
eliza_ball_line_50059.png,1,8,1,7,0,11.430,13.431,0.888
max_ball_bottom0261.png,1,8,1,7,0,13.574,14.374,0.939
robby_rc16_ball0601.png,1,8,1,7,0,9.815,13.491,0.847
robby_ball_far0573.png,1,8,1,7,0,9.940,13.479,0.882
eliza_ball_line_50023.png,1,8,1,7,0,10.891,13.414,0.863
len_goalie0447.png,1,8,1,7,0,14.293,13.602,1.026
IMG_20260512_222941~2.jpg,1,8,1,7,0,4.396,13.620,0.880
pip_ball_bottom0229.png,1,8,1,7,0,11.957,13.634,0.867
