image,n_gt,n_pred,tp,fp,fn,pre_ms,infer_ms,post_ms
robby_ball_far0657.png,1,8,1,7,0,23.118,10.685,1.017
pip_ball_size0116.png,1,8,1,7,0,11.873,9.341,0.886
max_ball_feet0186.png,1,8,1,7,0,15.017,8.955,0.812
IMG_20260512_223335.jpg,1,8,1,7,0,7.446,8.806,0.826
max_ball_moving0064.png,1,8,1,7,0,12.440,8.915,0.858
robby_ball_far0633.png,1,8,1,7,0,11.732,8.979,0.799
oisin_ball_robot0941.png,0,8,0,8,0,10.943,8.473,0.783
eliza_ball_line_50083.png,2,8,2,6,0,12.752,8.789,0.808
bs4-328.png,0,8,0,8,0,10.225,8.843,0.778
IMG_20260512_223027~2.jpg,2,8,1,7,1,5.467,8.957,0.769
IMG_20260512_223347~3.jpg,1,8,1,7,0,5.624,8.997,0.785
robby_ball_far0267.png,1,8,1,7,0,11.562,8.752,0.814
robby_rc16_ball0060.png,1,6,1,5,0,15.350,8.864,0.676
max_ball_moving0464.png,1,8,1,7,0,12.892,8.893,0.815
alfie_lm_ball_line0423.png,1,8,1,7,0,12.210,7.957,0.758
eliza_ball_line_50069.png,2,8,2,6,0,12.307,8.311,0.794
robby_rc16_ball20214.png,0,8,0,8,0,11.788,8.301,0.765
max_ball_bottom0232.png,1,8,1,7,0,12.073,8.026,0.776
eobr228.png,1,8,1,7,0,11.040,8.462,1.084
IMG_20260512_223456~3.jpg,2,8,2,6,0,5.834,8.294,0.821
max_ball_moving0257.png,1,8,1,7,0,12.241,8.352,0.783
oisin_ball_robot0491.png,2,8,2,6,0,12.280,8.108,0.773
len_goalie0193.png,1,8,1,7,0,15.195,10.302,1.451
IMG_20260512_223457.jpg,2,8,2,6,0,5.839,8.448,0.802
eliza_ball_line_10186.png,1,8,1,7,0,15.948,8.826,0.784
IMG_20260512_223325.jpg,1,8,1,7,0,6.505,7.155,0.795
robby_ball_far0414.png,1,8,1,7,0,11.692,7.569,1.249
IMG_20260512_223333.jpg,0,8,0,8,0,5.812,7.378,1.060
IMG_20260512_223430~2.jpg,2,8,2,6,0,5.520,7.005,0.736
eliza_ball_line_30187.png,2,8,2,6,0,13.290,7.601,0.761
eliza_ball_line_30227.png,2,8,2,6,0,12.319,7.135,0.796
max_ball_feet0279.png,1,8,1,7,0,15.215,7.604,0.797
len_goalie0449.png,1,8,1,7,0,15.310,7.471,0.750
pip_ball_bottom0059.png,1,8,1,7,0,13.991,7.056,0.761
IMG_20260512_222114.jpg,1,8,1,7,0,5.849,7.002,0.730
pip_natLight_moving_t0591.png,1,8,1,7,0,12.359,9.872,1.421
alfie_lm_ball_line0499.png,1,8,1,7,0,11.747,8.418,0.852
robby_ball_far0234.png,1,8,1,7,0,11.485,7.076,0.754
robby_ball_line0233.png,1,8,1,7,0,15.396,7.722,0.791
IMG_20260512_223046.jpg,1,8,1,7,0,5.644,7.326,0.861
eliza_ball_line_30015.png,1,8,1,7,0,11.917,7.449,0.793
IMG_20260512_223439.jpg,1,8,1,7,0,5.657,7.952,0.762
IMG_20260512_223451~2.jpg,2,8,2,6,0,5.333,7.823,0.770
ivy_ball_moving0174.png,1,8,1,7,0,12.943,7.535,0.754
alfie_lm_ball_line0435.png,1,8,1,7,0,10.694,7.161,0.746
pip_natLight_moving_t0551.png,0,8,0,8,0,9.622,7.100,0.734
max_ball_moving0415.png,0,8,0,8,0,11.190,7.056,0.740
IMG_20260512_222936~2.jpg,1,8,1,7,0,5.522,7.029,0.729
eliza_ball_line_30048.png,1,8,1,7,0,12.131,7.326,0.800
IMG_20260512_222611.jpg,1,8,1,7,0,5.329,7.059,0.737
pip_ball_bottom0245.png,1,8,1,7,0,12.978,7.730,0.776
max_ball_bottom0316.png,1,8,1,7,0,11.035,7.652,0.774
IMG_20260512_222122~2.jpg,1,8,1,7,0,5.204,7.589,0.750
eliza_ball_line_30155.png,2,8,2,6,0,12.690,7.858,0.773
pip_fp_ball0377.png,0,8,0,8,0,10.475,7.138,0.778
max_ball_feet0310.png,1,8,1,7,0,14.661,7.180,0.746
robby_ball_far0359.png,1,8,1,7,0,10.737,7.028,0.804
len_goalie0438.png,1,8,1,7,0,14.779,7.128,0.723
robby_ball_line0563.png,1,8,1,7,0,14.731,7.608,0.762
IMG_20260512_222120~2.jpg,1,8,1,7,0,5.295,7.001,0.742
alfie_lm_ball_line0477.png,1,8,1,7,0,10.652,6.970,0.733
pip_natLight_ball_30511.png,1,8,1,7,0,10.454,7.562,0.759
eliza_ball_line_30092.png,2,8,2,6,0,12.524,7.115,0.741
bs413.png,1,8,1,7,0,9.684,7.095,0.841
len_goalie0472.png,1,8,1,7,0,14.836,7.805,0.758
bs4-319.png,0,8,0,8,0,9.439,7.060,0.745
IMG_20260512_222558~3.jpg,2,8,0,8,2,5.094,6.990,0.747
IMG_20260512_222507.jpg,1,8,1,7,0,5.314,6.968,0.749
pip_natLight_ball_10301.png,0,8,0,8,0,11.071,7.348,0.742
alfie_lm_ball_line0306.png,1,8,1,7,0,10.321,7.108,0.767
IMG_20260512_223009~2.jpg,1,8,1,7,0,7.060,8.869,0.785
mA369.png,1,8,1,7,0,10.316,7.338,0.744
IMG_20260512_222932.jpg,1,8,1,7,0,5.228,7.058,0.740
bs4-337.png,0,8,0,8,0,9.418,7.060,0.741
alfie_lm_ball_line0279.png,1,8,1,7,0,10.321,7.835,0.775
max_ball_feet0306.png,1,8,1,7,0,14.986,8.836,0.766
max_ball_kickoff0091.png,1,7,1,6,0,14.281,8.937,0.694
IMG_20260512_223021~3.jpg,2,8,2,6,0,5.201,7.671,0.788
IMG_20260512_223431~2.jpg,2,8,2,6,0,5.006,7.086,0.754
IMG_20260512_222928.jpg,1,8,1,7,0,5.150,6.971,0.733
robby_ball_far0527.png,0,8,0,8,0,10.790,7.472,0.776
robby_ball_line0224.png,1,8,1,7,0,15.388,7.333,0.746
mA1033.png,1,8,1,7,0,9.867,7.076,0.741
eliza_ball_line_20065.png,1,8,1,7,0,15.091,7.342,0.736
oisin_ball_robot1031.png,0,8,0,8,0,10.342,7.201,0.745
robby_ball_far0257.png,1,8,1,7,0,12.686,10.350,1.409
oisin_ball_robot0706.png,0,8,0,8,0,11.621,7.510,0.784
alfie_lm_ball_line0038.png,1,8,1,7,0,15.594,9.958,1.416
max_ball_moving0397.png,0,8,0,8,0,12.540,7.347,0.784
eliza_ball_line_50059.png,1,8,1,7,0,11.926,7.770,0.768
max_ball_bottom0261.png,1,8,1,7,0,10.754,7.160,0.739
robby_rc16_ball0601.png,1,7,1,6,0,9.992,6.983,0.665
robby_ball_far0573.png,1,8,1,7,0,10.776,7.074,0.761
