image,n_gt,n_pred,tp,fp,fn,pre_ms,infer_ms,post_ms
robby_ball_far0657.png,1,8,1,7,0,1.645,74.978,0.250
pip_ball_size0116.png,1,8,0,8,1,1.645,74.973,0.181
max_ball_feet0186.png,1,8,1,7,0,1.646,74.973,0.128
IMG_20260512_223335.jpg,1,8,1,7,0,1.645,74.973,0.209
max_ball_moving0064.png,1,8,1,7,0,1.646,74.972,0.261
robby_ball_far0633.png,1,8,1,7,0,1.646,74.972,0.230
oisin_ball_robot0941.png,0,8,0,8,0,1.646,74.973,0.152
eliza_ball_line_50083.png,2,8,2,6,0,1.645,74.972,0.181
bs4-328.png,0,8,0,8,0,1.645,74.972,0.115
IMG_20260512_223027~2.jpg,2,8,1,7,1,1.646,74.973,0.117
IMG_20260512_223347~3.jpg,1,8,1,7,0,1.646,74.973,0.210
robby_ball_far0267.png,1,8,1,7,0,1.645,74.972,0.189
robby_rc16_ball0060.png,1,8,1,7,0,1.646,74.972,0.110
max_ball_moving0464.png,1,8,1,7,0,1.646,74.972,0.262
alfie_lm_ball_line0423.png,1,8,1,7,0,1.646,74.973,0.113
eliza_ball_line_50069.png,2,8,2,6,0,1.646,74.972,0.177
robby_rc16_ball20214.png,0,8,0,8,0,1.645,74.971,0.130
max_ball_bottom0232.png,1,8,1,7,0,1.646,74.972,0.149
eobr228.png,1,8,1,7,0,1.647,74.973,0.194
IMG_20260512_223456~3.jpg,2,8,2,6,0,1.646,74.973,0.208
max_ball_moving0257.png,1,8,1,7,0,1.646,74.971,0.220
oisin_ball_robot0491.png,2,8,2,6,0,1.645,74.972,0.137
len_goalie0193.png,1,8,1,7,0,1.646,74.973,0.162
IMG_20260512_223457.jpg,2,8,2,6,0,1.646,74.972,0.150
eliza_ball_line_10186.png,1,8,1,7,0,1.645,74.972,0.170
IMG_20260512_223325.jpg,1,8,1,7,0,1.646,74.971,0.237
robby_ball_far0414.png,1,8,1,7,0,1.646,74.973,0.201
IMG_20260512_223333.jpg,0,8,0,8,0,1.645,74.972,0.244
IMG_20260512_223430~2.jpg,2,8,2,6,0,1.645,74.972,0.294
eliza_ball_line_30187.png,2,8,2,6,0,1.645,74.972,0.209
eliza_ball_line_30227.png,2,8,2,6,0,1.647,74.973,0.127
max_ball_feet0279.png,1,8,1,7,0,1.646,74.973,0.106
len_goalie0449.png,1,8,1,7,0,1.646,74.971,0.145
pip_ball_bottom0059.png,1,8,1,7,0,1.646,74.971,0.129
IMG_20260512_222114.jpg,1,8,1,7,0,1.645,74.973,0.158
pip_natLight_moving_t0591.png,1,8,1,7,0,1.646,74.972,0.131
alfie_lm_ball_line0499.png,1,8,1,7,0,1.646,74.972,0.088
robby_ball_far0234.png,1,8,1,7,0,1.647,74.972,0.226
robby_ball_line0233.png,1,8,1,7,0,1.645,74.973,0.104
IMG_20260512_223046.jpg,1,8,1,7,0,1.646,74.972,0.171
eliza_ball_line_30015.png,1,8,1,7,0,1.645,74.971,0.139
IMG_20260512_223439.jpg,1,8,1,7,0,1.645,74.972,0.154
IMG_20260512_223451~2.jpg,2,8,2,6,0,1.646,74.973,0.136
ivy_ball_moving0174.png,1,8,1,7,0,1.646,74.972,0.157
alfie_lm_ball_line0435.png,1,8,1,7,0,1.645,74.972,0.107
pip_natLight_moving_t0551.png,0,8,0,8,0,1.646,74.972,0.129
max_ball_moving0415.png,0,8,0,8,0,1.645,74.973,0.197
IMG_20260512_222936~2.jpg,1,8,1,7,0,1.645,74.972,0.189
eliza_ball_line_30048.png,1,8,1,7,0,1.645,74.972,0.158
IMG_20260512_222611.jpg,1,8,0,8,1,1.645,74.972,0.180
pip_ball_bottom0245.png,1,8,1,7,0,1.646,74.973,0.191
max_ball_bottom0316.png,1,8,1,7,0,1.646,74.972,0.172
IMG_20260512_222122~2.jpg,1,8,1,7,0,1.645,74.972,0.150
eliza_ball_line_30155.png,2,8,2,6,0,1.645,74.972,0.131
pip_fp_ball0377.png,0,8,0,8,0,1.645,74.973,0.111
max_ball_feet0310.png,1,8,1,7,0,1.645,74.972,0.121
robby_ball_far0359.png,1,8,1,7,0,1.646,74.972,0.214
len_goalie0438.png,1,8,1,7,0,1.645,74.972,0.206
robby_ball_line0563.png,1,8,1,7,0,1.646,74.974,0.142
IMG_20260512_222120~2.jpg,1,8,1,7,0,1.646,74.972,0.205
alfie_lm_ball_line0477.png,1,8,1,7,0,1.646,74.971,0.122
