image,n_gt,n_pred,tp,fp,fn,pre_ms,infer_ms,post_ms
robby_ball_far0657.png,1,8,1,7,0,21.802,11.873,1.407
pip_ball_size0116.png,1,8,1,7,0,16.231,10.816,1.199
max_ball_feet0186.png,1,8,1,7,0,19.941,9.907,1.161
IMG_20260512_223335.jpg,1,8,1,7,0,10.031,9.952,1.135
max_ball_moving0064.png,1,8,1,7,0,17.253,9.971,1.175
robby_ball_far0633.png,1,8,1,7,0,16.206,9.948,1.153
oisin_ball_robot0941.png,0,8,0,8,0,15.356,10.129,1.148
eliza_ball_line_50083.png,2,8,2,6,0,17.649,9.903,1.129
bs4-328.png,0,8,0,8,0,14.103,10.192,1.147
IMG_20260512_223027~2.jpg,2,8,1,7,1,8.013,9.835,1.100
IMG_20260512_223347~3.jpg,1,8,1,7,0,8.152,10.131,1.181
robby_ball_far0267.png,1,8,1,7,0,16.333,10.356,1.155
robby_rc16_ball0060.png,1,6,1,5,0,15.625,10.085,0.952
max_ball_moving0464.png,1,8,1,7,0,17.458,10.116,1.135
alfie_lm_ball_line0423.png,1,8,1,7,0,15.850,10.043,1.124
eliza_ball_line_50069.png,2,8,2,6,0,17.064,10.098,1.135
robby_rc16_ball20214.png,0,8,0,8,0,16.052,10.044,1.106
max_ball_bottom0232.png,1,8,1,7,0,16.168,10.090,1.126
eobr228.png,1,8,1,7,0,15.064,9.979,1.128
IMG_20260512_223456~3.jpg,2,8,2,6,0,8.085,9.897,1.118
max_ball_moving0257.png,1,8,1,7,0,17.295,10.085,1.156
oisin_ball_robot0491.png,2,8,2,6,0,17.232,10.089,1.150
len_goalie0193.png,1,8,1,7,0,19.719,9.952,1.122
IMG_20260512_223457.jpg,2,8,2,6,0,8.066,10.154,1.149
eliza_ball_line_10186.png,1,8,1,7,0,19.723,9.998,1.131
IMG_20260512_223325.jpg,1,8,1,7,0,8.417,10.160,1.164
robby_ball_far0414.png,1,8,1,7,0,16.270,10.157,1.162
IMG_20260512_223333.jpg,0,8,0,8,0,8.320,10.088,1.158
IMG_20260512_223430~2.jpg,2,8,2,6,0,8.261,10.150,1.138
eliza_ball_line_30187.png,2,8,2,6,0,17.902,10.316,1.126
eliza_ball_line_30227.png,2,8,2,6,0,17.617,10.074,1.142
max_ball_feet0279.png,1,8,1,7,0,19.756,9.968,1.116
len_goalie0449.png,1,8,1,7,0,20.058,9.999,1.110
pip_ball_bottom0059.png,1,8,1,7,0,19.046,10.237,1.146
IMG_20260512_222114.jpg,1,8,1,7,0,8.320,10.051,1.122
pip_natLight_moving_t0591.png,1,8,1,7,0,14.479,9.945,1.080
alfie_lm_ball_line0499.png,1,8,1,7,0,15.723,10.094,1.089
robby_ball_far0234.png,1,8,1,7,0,16.079,10.005,1.150
robby_ball_line0233.png,1,8,1,7,0,19.948,10.054,1.109
IMG_20260512_223046.jpg,1,8,1,7,0,8.204,9.873,1.090
eliza_ball_line_30015.png,1,8,1,7,0,17.093,9.826,1.083
IMG_20260512_223439.jpg,1,8,1,7,0,8.130,9.962,1.114
IMG_20260512_223451~2.jpg,2,8,2,6,0,7.763,10.172,1.135
ivy_ball_moving0174.png,1,8,1,7,0,17.815,9.925,1.084
alfie_lm_ball_line0435.png,1,8,1,7,0,15.064,9.888,1.067
pip_natLight_moving_t0551.png,0,8,0,8,0,13.704,9.808,1.058
max_ball_moving0415.png,0,8,0,8,0,15.649,9.890,1.100
IMG_20260512_222936~2.jpg,1,8,1,7,0,7.828,10.201,1.129
eliza_ball_line_30048.png,1,8,1,7,0,16.498,10.141,1.125
IMG_20260512_222611.jpg,1,8,1,7,0,7.907,10.074,1.145
pip_ball_bottom0245.png,1,8,1,7,0,17.717,9.898,1.106
max_ball_bottom0316.png,1,8,1,7,0,15.689,10.168,1.151
