image,n_gt,n_pred,tp,fp,fn,pre_ms,infer_ms,post_ms
robby_ball_far0657.png,1,8,1,7,0,1.645,63.637,0.217
pip_ball_size0116.png,1,8,0,8,1,1.646,63.630,0.214
max_ball_feet0186.png,1,8,1,7,0,1.645,63.630,0.133
IMG_20260512_223335.jpg,1,8,1,7,0,1.645,63.630,0.148
max_ball_moving0064.png,1,8,1,7,0,1.645,63.629,0.307
robby_ball_far0633.png,1,8,1,7,0,1.644,63.629,0.226
oisin_ball_robot0941.png,0,8,0,8,0,1.644,63.629,0.215
eliza_ball_line_50083.png,2,8,2,6,0,1.646,63.629,0.197
bs4-328.png,0,8,0,8,0,1.644,63.629,0.130
IMG_20260512_223027~2.jpg,2,8,1,7,1,1.645,63.630,0.154
IMG_20260512_223347~3.jpg,1,8,1,7,0,1.645,63.629,0.179
robby_ball_far0267.png,1,8,1,7,0,1.645,63.628,0.188
robby_rc16_ball0060.png,1,8,1,7,0,1.644,63.629,0.183
max_ball_moving0464.png,1,8,1,7,0,1.644,63.630,0.289
alfie_lm_ball_line0423.png,1,8,1,7,0,1.645,63.629,0.108
eliza_ball_line_50069.png,2,8,2,6,0,1.644,63.629,0.188
robby_rc16_ball20214.png,0,8,0,8,0,1.645,63.629,0.166
max_ball_bottom0232.png,1,8,1,7,0,1.644,63.629,0.106
eobr228.png,1,8,1,7,0,1.645,63.630,0.210
IMG_20260512_223456~3.jpg,2,8,2,6,0,1.644,63.629,0.122
max_ball_moving0257.png,1,8,1,7,0,1.645,63.630,0.235
oisin_ball_robot0491.png,2,8,2,6,0,1.644,63.629,0.194
len_goalie0193.png,1,8,1,7,0,1.643,63.630,0.147
IMG_20260512_223457.jpg,2,8,2,6,0,1.644,63.630,0.112
eliza_ball_line_10186.png,1,8,1,7,0,1.645,63.629,0.146
IMG_20260512_223325.jpg,1,8,1,7,0,1.644,63.629,0.202
robby_ball_far0414.png,1,8,1,7,0,1.645,63.630,0.219
IMG_20260512_223333.jpg,0,8,0,8,0,1.645,63.629,0.146
IMG_20260512_223430~2.jpg,2,8,2,6,0,1.644,63.629,0.164
eliza_ball_line_30187.png,2,8,2,6,0,1.645,63.629,0.214
eliza_ball_line_30227.png,2,8,2,6,0,1.643,63.629,0.187
max_ball_feet0279.png,1,8,1,7,0,1.645,63.629,0.117
len_goalie0449.png,1,8,1,7,0,1.645,63.630,0.178
pip_ball_bottom0059.png,1,8,1,7,0,1.645,63.630,0.104
IMG_20260512_222114.jpg,1,8,1,7,0,1.644,63.629,0.143
pip_natLight_moving_t0591.png,1,8,1,7,0,1.645,63.629,0.210
alfie_lm_ball_line0499.png,1,8,1,7,0,1.646,63.629,0.155
robby_ball_far0234.png,1,8,1,7,0,1.645,63.629,0.177
robby_ball_line0233.png,1,8,1,7,0,1.644,63.629,0.139
IMG_20260512_223046.jpg,1,8,1,7,0,1.645,63.629,0.154
eliza_ball_line_30015.png,1,8,1,7,0,1.644,63.629,0.199
IMG_20260512_223439.jpg,1,8,1,7,0,1.645,63.629,0.127
IMG_20260512_223451~2.jpg,2,8,2,6,0,1.645,63.630,0.145
ivy_ball_moving0174.png,1,8,1,7,0,1.644,63.629,0.171
alfie_lm_ball_line0435.png,1,8,1,7,0,1.645,63.630,0.125
pip_natLight_moving_t0551.png,0,8,0,8,0,1.646,63.629,0.163
max_ball_moving0415.png,0,8,0,8,0,1.645,63.629,0.239
IMG_20260512_222936~2.jpg,1,8,1,7,0,1.644,63.629,0.196
eliza_ball_line_30048.png,1,8,1,7,0,1.645,63.629,0.178
IMG_20260512_222611.jpg,1,8,1,7,0,1.644,63.629,0.165
pip_ball_bottom0245.png,1,8,1,7,0,1.645,63.629,0.210
max_ball_bottom0316.png,1,8,1,7,0,1.644,63.629,0.187
IMG_20260512_222122~2.jpg,1,8,1,7,0,1.645,63.629,0.154
eliza_ball_line_30155.png,2,8,1,7,1,1.644,63.629,0.182
pip_fp_ball0377.png,0,8,0,8,0,1.644,63.630,0.169
max_ball_feet0310.png,1,8,1,7,0,1.645,63.630,0.107
robby_ball_far0359.png,1,8,1,7,0,1.644,63.629,0.218
len_goalie0438.png,1,8,1,7,0,1.645,63.629,0.192
robby_ball_line0563.png,1,8,1,7,0,1.644,63.629,0.197
IMG_20260512_222120~2.jpg,1,8,0,8,1,1.645,63.629,0.130
alfie_lm_ball_line0477.png,1,8,1,7,0,1.644,63.629,0.158
pip_natLight_ball_30511.png,1,8,1,7,0,1.644,63.629,0.165
eliza_ball_line_30092.png,2,8,2,6,0,1.644,63.630,0.198
bs413.png,1,8,1,7,0,1.646,63.629,0.137
len_goalie0472.png,1,8,1,7,0,1.646,63.630,0.194
bs4-319.png,0,8,0,8,0,1.645,63.629,0.093
IMG_20260512_222558~3.jpg,2,8,1,7,1,1.644,63.629,0.177
IMG_20260512_222507.jpg,1,8,0,8,1,1.645,63.629,0.137
pip_natLight_ball_10301.png,0,8,0,8,0,1.645,63.629,0.197
alfie_lm_ball_line0306.png,1,8,1,7,0,1.646,63.629,0.125
IMG_20260512_223009~2.jpg,1,8,1,7,0,1.645,63.629,0.153
mA369.png,1,8,1,7,0,1.646,63.629,0.233
IMG_20260512_222932.jpg,1,8,1,7,0,1.645,63.629,0.200
bs4-337.png,0,8,0,8,0,1.644,63.629,0.133
alfie_lm_ball_line0279.png,1,8,1,7,0,1.644,63.629,0.125
max_ball_feet0306.png,1,8,1,7,0,1.645,63.629,0.138
max_ball_kickoff0091.png,1,8,1,7,0,1.644,63.629,0.083
IMG_20260512_223021~3.jpg,2,8,2,6,0,1.644,63.629,0.176
IMG_20260512_223431~2.jpg,2,8,2,6,0,1.646,63.629,0.211
IMG_20260512_222928.jpg,1,8,1,7,0,1.644,63.630,0.178
robby_ball_far0527.png,0,8,0,8,0,1.644,63.629,0.177
robby_ball_line0224.png,1,8,1,7,0,1.645,63.629,0.113
mA1033.png,1,8,1,7,0,1.644,63.629,0.202
eliza_ball_line_20065.png,1,8,1,7,0,1.644,63.629,0.127
oisin_ball_robot1031.png,0,8,0,8,0,1.645,63.629,0.261
robby_ball_far0257.png,1,8,1,7,0,1.645,63.629,0.219
oisin_ball_robot0706.png,0,8,0,8,0,1.645,63.629,0.341
alfie_lm_ball_line0038.png,1,8,1,7,0,1.645,63.629,0.110
max_ball_moving0397.png,0,8,0,8,0,1.644,63.629,0.281
eliza_ball_line_50059.png,1,8,1,7,0,1.645,63.629,0.223
max_ball_bottom0261.png,1,8,0,8,1,1.645,63.629,0.149
robby_rc16_ball0601.png,1,8,1,7,0,1.646,63.629,0.103
robby_ball_far0573.png,1,8,1,7,0,1.643,63.629,0.210
eliza_ball_line_50023.png,1,8,1,7,0,1.645,63.629,0.202
len_goalie0447.png,1,8,1,7,0,1.644,63.629,0.175
IMG_20260512_222941~2.jpg,1,8,1,7,0,1.645,63.630,0.148
pip_ball_bottom0229.png,1,8,1,7,0,1.645,63.629,0.158
eliza_ball_01070128.png,1,8,1,7,0,1.645,63.629,0.139
alfie_lm_ball_line0163.png,1,8,0,8,1,1.646,63.630,0.142
IMG_20260512_222411~3.jpg,1,8,1,7,0,1.644,63.629,0.148
IMG_20260512_223334~2.jpg,1,8,0,8,1,1.645,63.629,0.182
oisin_ball_robot0421.png,3,8,3,5,0,1.645,63.629,0.289
max_ball_feet0141.png,1,8,1,7,0,1.643,63.629,0.076
oisin_ball_robot0251.png,2,8,1,7,1,1.645,63.629,0.133
IMG_20260512_222436~2.jpg,2,8,1,7,1,1.644,63.629,0.180
pip_ball_bottom0461.png,1,8,1,7,0,1.644,63.629,0.188
robby_rc16_ball20493.png,1,8,0,8,1,1.646,63.630,0.159
IMG_20260512_223321.jpg,2,8,2,6,0,1.645,63.629,0.214
eliza_ball_line_30199.png,2,8,2,6,0,1.645,63.629,0.189
oisin_ball_robot0681.png,1,8,1,7,0,1.645,63.629,0.249
max_ball_feet0298.png,1,8,1,7,0,1.644,63.629,0.104
IMG_20260512_222613.jpg,0,8,0,8,0,1.645,63.629,0.137
IMG_20260512_223349.jpg,1,8,0,8,1,1.645,63.630,0.167
IMG_20260512_222111.jpg,2,8,2,6,0,1.644,63.629,0.214
robby_rc16_ball20491.png,1,8,1,7,0,1.645,63.629,0.174
pip_ball_bottom0219.png,1,8,0,8,1,1.645,63.629,0.086
