image,n_gt,n_pred,tp,fp,fn,pre_ms,infer_ms,post_ms
robby_ball_far0657.png,1,8,1,7,0,22.770,10.966,1.420
pip_ball_size0116.png,1,8,0,8,1,16.195,9.359,1.225
max_ball_feet0186.png,1,8,1,7,0,21.211,6.890,1.017
IMG_20260512_223335.jpg,1,8,1,7,0,7.043,6.576,0.767
max_ball_moving0064.png,1,8,1,7,0,12.664,7.573,1.472
robby_ball_far0633.png,1,8,1,7,0,12.475,6.183,0.779
oisin_ball_robot0941.png,0,8,0,8,0,11.193,6.320,0.767
eliza_ball_line_50083.png,2,8,2,6,0,12.328,7.531,1.214
bs4-328.png,0,8,0,8,0,11.573,8.080,1.045
IMG_20260512_223027~2.jpg,2,8,1,7,1,5.660,7.280,0.765
IMG_20260512_223347~3.jpg,1,8,1,7,0,5.648,6.794,0.766
robby_ball_far0267.png,1,8,1,7,0,12.053,7.916,0.777
robby_rc16_ball0060.png,1,8,1,7,0,10.929,7.295,0.763
max_ball_moving0464.png,1,8,1,7,0,12.742,6.282,0.774
alfie_lm_ball_line0423.png,1,8,1,7,0,11.300,6.891,1.166
eliza_ball_line_50069.png,2,8,2,6,0,12.345,6.971,0.761
robby_rc16_ball20214.png,0,8,0,8,0,12.043,6.255,0.739
max_ball_bottom0232.png,1,8,1,7,0,12.298,6.215,0.784
eobr228.png,1,8,1,7,0,11.045,6.249,0.861
IMG_20260512_223456~3.jpg,2,8,2,6,0,5.862,6.332,1.225
max_ball_moving0257.png,1,8,1,7,0,12.985,6.757,0.872
oisin_ball_robot0491.png,2,8,2,6,0,13.132,7.071,0.784
len_goalie0193.png,1,8,1,7,0,15.547,6.374,0.760
IMG_20260512_223457.jpg,2,8,2,6,0,6.327,6.216,0.739
eliza_ball_line_10186.png,1,8,1,7,0,15.651,6.764,0.855
IMG_20260512_223325.jpg,1,8,1,7,0,5.869,6.563,1.156
robby_ball_far0414.png,1,8,1,7,0,11.527,6.881,0.774
IMG_20260512_223333.jpg,0,8,0,8,0,6.083,6.585,0.749
IMG_20260512_223430~2.jpg,2,8,2,6,0,5.605,6.269,1.009
eliza_ball_line_30187.png,2,8,2,6,0,12.627,6.983,0.764
eliza_ball_line_30227.png,2,8,2,6,0,12.524,6.490,0.762
max_ball_feet0279.png,1,8,1,7,0,15.368,6.352,0.772
len_goalie0449.png,1,8,1,7,0,16.042,8.422,0.794
pip_ball_bottom0059.png,1,8,1,7,0,15.008,7.666,0.800
IMG_20260512_222114.jpg,1,8,1,7,0,6.097,8.052,0.866
pip_natLight_moving_t0591.png,1,8,1,7,0,10.138,6.603,0.796
alfie_lm_ball_line0499.png,1,8,1,7,0,11.034,6.645,0.756
robby_ball_far0234.png,1,8,1,7,0,11.558,7.423,0.798
robby_ball_line0233.png,1,8,1,7,0,15.435,7.987,0.817
IMG_20260512_223046.jpg,1,8,1,7,0,5.835,6.407,0.743
eliza_ball_line_30015.png,1,8,1,7,0,12.254,6.228,0.771
IMG_20260512_223439.jpg,1,8,1,7,0,5.877,6.970,0.736
IMG_20260512_223451~2.jpg,2,8,2,6,0,7.734,8.909,1.112
ivy_ball_moving0174.png,1,8,1,7,0,13.018,7.349,0.773
alfie_lm_ball_line0435.png,1,8,1,7,0,10.471,7.287,0.762
pip_natLight_moving_t0551.png,0,8,0,8,0,9.590,8.173,1.212
max_ball_moving0415.png,0,8,0,8,0,15.219,8.497,1.246
IMG_20260512_222936~2.jpg,1,8,1,7,0,7.600,8.325,1.173
eliza_ball_line_30048.png,1,8,1,7,0,16.268,8.502,1.211
IMG_20260512_222611.jpg,1,8,1,7,0,7.901,8.555,1.214
pip_ball_bottom0245.png,1,8,1,7,0,18.297,8.428,1.223
