image,n_gt,n_pred,tp,fp,fn,pre_ms,infer_ms,post_ms
robby_ball_far0657.png,1,8,1,7,0,1.633,12.118,0.334
pip_ball_size0116.png,1,8,0,8,1,1.635,12.112,0.353
max_ball_feet0186.png,1,8,1,7,0,1.634,12.111,0.179
IMG_20260512_223335.jpg,1,8,1,7,0,1.633,12.111,0.326
max_ball_moving0064.png,1,8,1,7,0,1.634,12.111,0.499
robby_ball_far0633.png,1,8,1,7,0,1.634,12.112,0.366
oisin_ball_robot0941.png,0,8,0,8,0,1.634,12.111,0.333
eliza_ball_line_50083.png,2,8,2,6,0,1.634,12.111,0.242
bs4-328.png,0,8,0,8,0,1.633,12.111,0.243
IMG_20260512_223027~2.jpg,2,8,1,7,1,1.633,12.111,0.142
IMG_20260512_223347~3.jpg,1,8,1,7,0,1.634,12.111,0.220
robby_ball_far0267.png,1,8,1,7,0,1.634,12.111,0.434
robby_rc16_ball0060.png,1,8,1,7,0,1.633,12.111,0.241
max_ball_moving0464.png,1,8,1,7,0,1.634,12.111,0.487
alfie_lm_ball_line0423.png,1,8,1,7,0,1.633,12.111,0.130
eliza_ball_line_50069.png,2,8,1,7,1,1.634,12.111,0.263
robby_rc16_ball20214.png,0,8,0,8,0,1.633,12.111,0.270
max_ball_bottom0232.png,1,8,1,7,0,1.634,12.111,0.248
eobr228.png,1,8,1,7,0,1.634,12.111,0.590
IMG_20260512_223456~3.jpg,2,8,2,6,0,1.633,12.111,0.216
max_ball_moving0257.png,1,8,1,7,0,1.635,12.111,0.602
oisin_ball_robot0491.png,2,8,2,6,0,1.634,12.111,0.403
len_goalie0193.png,1,8,1,7,0,1.634,12.111,0.335
IMG_20260512_223457.jpg,2,8,2,6,0,1.633,12.111,0.409
eliza_ball_line_10186.png,1,8,1,7,0,1.633,12.111,0.148
IMG_20260512_223325.jpg,1,8,1,7,0,1.635,12.111,0.369
robby_ball_far0414.png,1,8,1,7,0,1.634,12.111,0.312
IMG_20260512_223333.jpg,0,8,0,8,0,1.634,12.111,0.345
IMG_20260512_223430~2.jpg,2,8,2,6,0,1.634,12.111,0.211
eliza_ball_line_30187.png,2,8,1,7,1,1.634,12.111,0.498
eliza_ball_line_30227.png,2,8,2,6,0,1.633,12.111,0.413
max_ball_feet0279.png,1,8,1,7,0,1.634,12.111,0.178
len_goalie0449.png,1,8,1,7,0,1.634,12.111,0.273
pip_ball_bottom0059.png,1,8,1,7,0,1.634,12.111,0.209
IMG_20260512_222114.jpg,1,8,1,7,0,1.633,12.111,0.221
pip_natLight_moving_t0591.png,1,8,1,7,0,1.634,12.111,0.216
alfie_lm_ball_line0499.png,1,8,1,7,0,1.635,12.111,0.404
robby_ball_far0234.png,1,8,1,7,0,1.634,12.111,0.458
robby_ball_line0233.png,1,8,1,7,0,1.634,12.112,0.390
IMG_20260512_223046.jpg,1,8,1,7,0,1.634,12.111,0.195
eliza_ball_line_30015.png,1,8,1,7,0,1.634,12.111,0.401
IMG_20260512_223439.jpg,1,8,1,7,0,1.633,12.111,0.224
IMG_20260512_223451~2.jpg,2,8,2,6,0,1.635,12.111,0.209
ivy_ball_moving0174.png,1,8,1,7,0,1.636,12.111,0.287
alfie_lm_ball_line0435.png,1,8,1,7,0,1.634,12.111,0.170
pip_natLight_moving_t0551.png,0,8,0,8,0,1.635,12.111,0.278
max_ball_moving0415.png,0,8,0,8,0,1.634,12.111,0.353
IMG_20260512_222936~2.jpg,1,8,1,7,0,1.634,12.111,0.255
eliza_ball_line_30048.png,1,8,1,7,0,1.634,12.111,0.421
IMG_20260512_222611.jpg,1,8,1,7,0,1.633,12.111,0.230
pip_ball_bottom0245.png,1,8,1,7,0,1.634,12.111,0.233
max_ball_bottom0316.png,1,8,1,7,0,1.634,12.111,0.189
IMG_20260512_222122~2.jpg,1,8,0,8,1,1.634,12.111,0.235
eliza_ball_line_30155.png,2,8,2,6,0,1.634,12.111,0.412
pip_fp_ball0377.png,0,8,0,8,0,1.634,12.111,0.283
max_ball_feet0310.png,1,8,1,7,0,1.634,12.112,0.198
robby_ball_far0359.png,1,8,1,7,0,1.634,12.111,0.411
len_goalie0438.png,1,8,1,7,0,1.635,12.111,0.329
robby_ball_line0563.png,1,8,1,7,0,1.633,12.111,0.403
IMG_20260512_222120~2.jpg,1,8,0,8,1,1.634,12.111,0.228
alfie_lm_ball_line0477.png,1,8,1,7,0,1.634,12.111,0.322
pip_natLight_ball_30511.png,1,8,1,7,0,1.634,12.111,0.510
eliza_ball_line_30092.png,2,8,2,6,0,1.634,12.112,0.342
bs413.png,1,8,1,7,0,1.633,12.111,0.350
len_goalie0472.png,1,8,1,7,0,1.634,12.111,0.267
bs4-319.png,0,8,0,8,0,1.633,12.112,0.255
IMG_20260512_222558~3.jpg,2,8,1,7,1,1.633,12.112,0.296
IMG_20260512_222507.jpg,1,8,1,7,0,1.633,12.111,0.253
pip_natLight_ball_10301.png,0,8,0,8,0,1.633,12.112,0.311
alfie_lm_ball_line0306.png,1,8,1,7,0,1.635,12.111,0.173
IMG_20260512_223009~2.jpg,1,8,1,7,0,1.634,12.111,0.235
mA369.png,1,8,1,7,0,1.633,12.111,0.438
IMG_20260512_222932.jpg,1,8,1,7,0,1.634,12.111,0.327
bs4-337.png,0,8,0,8,0,1.634,12.111,0.493
alfie_lm_ball_line0279.png,1,8,1,7,0,1.633,12.111,0.216
max_ball_feet0306.png,1,8,1,7,0,1.633,12.111,0.184
max_ball_kickoff0091.png,1,8,1,7,0,1.633,12.111,0.292
IMG_20260512_223021~3.jpg,2,8,2,6,0,1.634,12.112,0.267
IMG_20260512_223431~2.jpg,2,8,2,6,0,1.634,12.111,0.236
IMG_20260512_222928.jpg,1,8,1,7,0,1.633,12.111,0.277
robby_ball_far0527.png,0,8,0,8,0,1.634,12.111,0.420
robby_ball_line0224.png,1,8,1,7,0,1.633,12.111,0.218
mA1033.png,1,8,1,7,0,1.634,12.111,0.417
eliza_ball_line_20065.png,1,8,1,7,0,1.634,12.112,0.164
oisin_ball_robot1031.png,0,8,0,8,0,1.634,12.112,0.408
robby_ball_far0257.png,1,8,1,7,0,1.634,12.111,0.481
oisin_ball_robot0706.png,0,8,0,8,0,1.633,12.111,0.572
alfie_lm_ball_line0038.png,1,8,1,7,0,1.634,12.111,0.260
max_ball_moving0397.png,0,8,0,8,0,1.634,12.111,0.519
eliza_ball_line_50059.png,1,8,1,7,0,1.636,12.111,0.376
max_ball_bottom0261.png,1,8,1,7,0,1.634,12.112,0.279
robby_rc16_ball0601.png,1,8,1,7,0,1.635,12.112,0.236
robby_ball_far0573.png,1,8,1,7,0,1.633,12.111,0.348
eliza_ball_line_50023.png,1,8,1,7,0,1.634,12.111,0.454
len_goalie0447.png,1,8,1,7,0,1.634,12.111,0.394
IMG_20260512_222941~2.jpg,1,8,1,7,0,1.634,12.111,0.263
pip_ball_bottom0229.png,1,8,1,7,0,1.634,12.111,0.215
eliza_ball_01070128.png,1,8,1,7,0,1.634,12.111,0.327
alfie_lm_ball_line0163.png,1,8,1,7,0,1.634,12.112,0.162
IMG_20260512_222411~3.jpg,1,8,1,7,0,1.634,12.111,0.264
IMG_20260512_223334~2.jpg,1,8,0,8,1,1.634,12.111,0.232
oisin_ball_robot0421.png,3,8,3,5,0,1.634,12.111,0.400
max_ball_feet0141.png,1,8,1,7,0,1.634,12.111,0.287
oisin_ball_robot0251.png,2,8,1,7,1,1.635,12.111,0.324
IMG_20260512_222436~2.jpg,2,8,1,7,1,1.634,12.111,0.257
pip_ball_bottom0461.png,1,8,0,8,1,1.634,12.111,0.397
robby_rc16_ball20493.png,1,8,0,8,1,1.635,12.111,0.475
IMG_20260512_223321.jpg,2,8,2,6,0,1.635,12.111,0.303
eliza_ball_line_30199.png,2,8,2,6,0,1.635,12.111,0.342
oisin_ball_robot0681.png,1,8,1,7,0,1.634,12.112,0.362
max_ball_feet0298.png,1,8,1,7,0,1.633,12.111,0.145
IMG_20260512_222613.jpg,0,8,0,8,0,1.632,12.111,0.264
IMG_20260512_223349.jpg,1,8,0,8,1,1.634,12.112,0.244
IMG_20260512_222111.jpg,2,8,2,6,0,1.634,12.112,0.427
robby_rc16_ball20491.png,1,8,1,7,0,1.634,12.111,0.437
pip_ball_bottom0219.png,1,8,0,8,1,1.634,12.111,0.148
IMG_20260512_223025~2.jpg,1,8,1,7,0,1.634,12.111,0.231
eliza_ball_line_10027.png,1,8,1,7,0,1.634,12.112,0.146
eobr994.png,1,8,1,7,0,1.634,12.111,0.594
max_ball_moving0159.png,1,8,1,7,0,1.634,12.111,0.654
oisin_ball_robot0461.png,1,8,1,7,0,1.634,12.111,0.376
pip_ball_bottom0383.png,1,8,0,8,1,1.635,12.111,0.342
IMG_20260512_222934~2.jpg,1,8,1,7,0,1.634,12.112,0.291
alfie_lm_ball_line0507.png,1,8,1,7,0,1.635,12.111,0.205
eliza_ball_01070359.png,1,8,1,7,0,1.633,12.111,0.381
eobr377.png,0,8,0,8,0,1.634,12.112,0.346
IMG_20260512_222422~2.jpg,1,8,1,7,0,1.633,12.111,0.234
IMG_20260512_223332~2.jpg,1,8,1,7,0,1.633,12.111,0.360
IMG_20260512_222507~3.jpg,1,8,1,7,0,1.634,12.111,0.347
bs4-148.png,1,8,1,7,0,1.634,12.112,0.323
eobr200.png,0,8,0,8,0,1.633,12.111,0.601
mA355.png,0,8,0,8,0,1.635,12.111,0.349
eobr525.png,0,8,0,8,0,1.635,12.112,0.630
alfie_lm_ball_line0483.png,1,8,1,7,0,1.634,12.111,0.212
robby_ball_far0395.png,1,8,1,7,0,1.633,12.111,0.398
oisin_ball_robot0736.png,1,8,1,7,0,1.634,12.111,0.440
IMG_20260512_222950~2.jpg,1,8,1,7,0,1.635,12.111,0.241
len_goalie0455.png,1,8,1,7,0,1.633,12.111,0.363
robby_ball_far0195.png,1,8,1,7,0,1.634,12.111,0.410
IMG_20260512_222418~3.jpg,1,8,0,8,1,1.634,12.111,0.291
eliza_ball_line_20001.png,1,8,1,7,0,1.634,12.112,0.350
oisin_ball_robot0431.png,1,8,1,7,0,1.633,12.111,0.277
max_ball_kickoff0129.png,1,8,1,7,0,1.634,12.111,0.222
