image,n_gt,n_pred,tp,fp,fn,pre_ms,infer_ms,post_ms
robby_ball_far0657.png,1,8,1,7,0,24.360,15.862,1.560
pip_ball_size0116.png,1,8,0,8,1,16.163,13.324,1.167
max_ball_feet0186.png,1,8,1,7,0,20.067,12.314,1.289
IMG_20260512_223335.jpg,1,8,1,7,0,10.238,12.555,1.201
max_ball_moving0064.png,1,8,1,7,0,17.525,12.176,1.227
robby_ball_far0633.png,1,8,1,7,0,16.351,12.183,1.125
oisin_ball_robot0941.png,0,8,0,8,0,15.485,12.083,1.099
eliza_ball_line_50083.png,2,8,2,6,0,17.351,12.043,1.108
bs4-328.png,0,8,0,8,0,14.144,12.065,1.087
IMG_20260512_223027~2.jpg,2,8,1,7,1,8.203,11.923,1.075
IMG_20260512_223347~3.jpg,1,8,1,7,0,8.222,11.992,1.101
robby_ball_far0267.png,1,8,1,7,0,16.303,12.470,1.154
robby_rc16_ball0060.png,1,8,1,7,0,15.664,12.144,1.077
max_ball_moving0464.png,1,8,1,7,0,17.641,12.146,1.242
alfie_lm_ball_line0423.png,1,8,1,7,0,15.783,12.085,1.079
eliza_ball_line_50069.png,2,8,1,7,1,17.139,12.079,1.096
robby_rc16_ball20214.png,0,8,0,8,0,16.084,12.217,1.113
max_ball_bottom0232.png,1,8,1,7,0,16.505,12.197,1.101
eobr228.png,1,8,1,7,0,15.153,12.173,1.185
IMG_20260512_223456~3.jpg,2,8,2,6,0,8.016,12.222,1.113
max_ball_moving0257.png,1,8,1,7,0,17.672,12.162,1.188
oisin_ball_robot0491.png,2,8,2,6,0,17.108,12.236,1.120
len_goalie0193.png,1,8,1,7,0,19.464,12.191,1.097
IMG_20260512_223457.jpg,2,8,2,6,0,7.982,12.106,1.064
eliza_ball_line_10186.png,1,8,1,7,0,19.602,12.127,1.058
IMG_20260512_223325.jpg,1,8,1,7,0,8.305,12.127,1.098
robby_ball_far0414.png,1,8,1,7,0,15.611,12.112,1.107
IMG_20260512_223333.jpg,0,8,0,8,0,8.498,12.238,1.125
IMG_20260512_223430~2.jpg,2,8,2,6,0,8.066,12.498,1.112
eliza_ball_line_30187.png,2,8,1,7,1,16.891,12.128,1.112
eliza_ball_line_30227.png,2,8,2,6,0,17.064,12.091,1.126
max_ball_feet0279.png,1,8,1,7,0,20.024,12.476,1.075
len_goalie0449.png,1,8,1,7,0,20.227,12.372,1.107
pip_ball_bottom0059.png,1,8,1,7,0,19.054,12.309,1.084
IMG_20260512_222114.jpg,1,8,1,7,0,8.287,12.068,1.081
pip_natLight_moving_t0591.png,1,8,1,7,0,14.547,12.198,1.080
alfie_lm_ball_line0499.png,1,8,1,7,0,15.904,12.320,1.079
robby_ball_far0234.png,1,8,1,7,0,16.194,12.831,1.129
robby_ball_line0233.png,1,8,1,7,0,20.673,12.467,1.097
IMG_20260512_223046.jpg,1,8,1,7,0,8.247,12.408,1.084
eliza_ball_line_30015.png,1,8,1,7,0,17.307,12.296,1.114
IMG_20260512_223439.jpg,1,8,1,7,0,8.254,12.331,1.088
IMG_20260512_223451~2.jpg,2,8,2,6,0,7.642,12.384,1.093
ivy_ball_moving0174.png,1,8,1,7,0,17.984,12.292,1.112
alfie_lm_ball_line0435.png,1,8,1,7,0,15.276,12.324,1.088
pip_natLight_moving_t0551.png,0,8,0,8,0,13.869,12.335,1.096
max_ball_moving0415.png,0,8,0,8,0,15.976,12.499,1.118
IMG_20260512_222936~2.jpg,1,8,1,7,0,7.878,12.348,1.112
eliza_ball_line_30048.png,1,8,1,7,0,16.405,12.360,1.110
IMG_20260512_222611.jpg,1,8,1,7,0,7.930,12.459,1.113
pip_ball_bottom0245.png,1,8,1,7,0,17.980,12.459,1.078
max_ball_bottom0316.png,1,8,1,7,0,15.914,12.297,1.091
IMG_20260512_222122~2.jpg,1,8,1,7,0,7.718,12.344,1.093
eliza_ball_line_30155.png,2,8,2,6,0,17.698,12.310,1.109
