image,gt,pred,confidence,pre_ms,infer_ms,post_ms,total_ms,correct
8521e719-05e9-426e-abd8-14f2f28452bb.jpg,fist,fist,0.9999,1.200,3230.212,0.007,3231.420,1
7f28c6f9-c59a-46aa-b982-54beac411470.jpg,palm,palm,1.0000,1.200,3230.213,0.007,3231.421,1
a245f2a6-e099-4753-899a-401b253b15f6.jpg,palm,palm,1.0000,1.200,3230.205,0.007,3231.413,1
97176b4c-c70b-4009-b67e-9d4e412f900e.jpg,fist,fist,1.0000,1.200,3230.208,0.007,3231.416,1
d5e6c115-f08c-44a8-8127-5b0aff906136.jpg,rock,rock,1.0000,1.200,3230.213,0.007,3231.421,1
76764a81-d6f7-410b-813f-974e0fc973ca.jpg,rock,rock,1.0000,1.200,3230.210,0.007,3231.417,1
4ae46057-5eff-45a9-b572-eb8760fdcf4f.jpg,rock,rock,1.0000,1.200,3230.206,0.007,3231.414,1
bae1a41b-4eb0-4ea9-9450-f1f02a077530.jpg,palm,palm,1.0000,1.200,3230.208,0.007,3231.416,1
975482e0-1ef6-4fac-9e87-9c5d1dbca6b4.jpg,fist,fist,0.9992,1.200,3230.210,0.007,3231.417,1
134288fb-731d-4603-a36c-d6c77fdc38c4.jpg,palm,palm,1.0000,1.200,3230.205,0.007,3231.413,1
6a3ad6d6-97cd-4942-a9c4-a1a9cd237d8e.jpg,fist,fist,1.0000,1.200,3230.211,0.007,3231.419,1
7fa7a0aa-82f1-451e-bdff-3a660b8a6460.jpg,fist,fist,1.0000,1.200,3230.211,0.007,3231.418,1
37311094-4854-4104-9fe0-ea2679ba7123.jpg,others,others,1.0000,1.200,3230.213,0.007,3231.420,1
4c4be109-cc6d-4ce8-9cb5-59b3c69963fd.jpg,one,one,1.0000,1.200,3230.209,0.007,3231.417,1
84a7cdc8-95a8-45bc-afbc-108a39a91670.jpg,palm,palm,1.0000,1.200,3230.208,0.007,3231.416,1
2fed9ef6-3071-4251-965b-12397897a197.jpg,one,one,1.0000,1.200,3230.213,0.008,3231.421,1
f7fb402e-6aaa-439f-ada5-5e75110c4818.jpg,pinkie,pinkie,0.9999,1.200,3230.208,0.007,3231.416,1
20df222c-b55b-4b6a-8ef7-b5f56bd8be63.jpg,palm,palm,0.9998,1.200,3230.215,0.007,3231.423,1
3d26476f-de3e-489a-88d1-4d37932610ee.jpg,palm,palm,1.0000,1.200,3230.205,0.007,3231.413,1
5b0e5352-f679-41bb-a8e5-16756947cfee.jpg,palm,palm,1.0000,1.200,3230.211,0.007,3231.419,1
ee1c4544-0759-44f0-8d24-cd4e531928f7.jpg,rock,rock,0.9998,1.200,3230.214,0.007,3231.422,1
6275bd81-17e7-4234-a011-b10d04e827e4.jpg,rock,rock,1.0000,1.200,3230.208,0.007,3231.416,1
a6492227-46d4-466e-b761-75fea55fa56a.jpg,one,one,1.0000,1.200,3230.208,0.007,3231.415,1
1ab0dce7-f20d-47d5-90cf-67d9fed59d69.jpg,one,one,1.0000,1.200,3230.208,0.007,3231.416,1
26d8e336-bd58-4cd1-ac5a-978b1ed2c658.jpg,palm,palm,1.0000,1.200,3230.214,0.007,3231.421,1
6c499bc1-239f-4c3b-9945-f2d8c24e6a3c.jpg,one,one,1.0000,1.200,3230.213,0.007,3231.421,1
179d2b6e-e9e7-4f8e-9291-3b4079531843.jpg,rock,rock,1.0000,1.200,3230.205,0.007,3231.413,1
10afa18c-7b50-4203-9cc4-09b6cc4c9eda.jpg,fist,fist,1.0000,1.200,3230.209,0.007,3231.417,1
53093f30-646b-423d-9274-9644d0da0d9e.jpg,fist,fist,1.0000,1.200,3230.213,0.007,3231.420,1
c9860fec-5912-463d-80c6-71aaa2d6db4b.jpg,fist,fist,0.9730,1.200,3230.214,0.007,3231.422,1
626c2b46-87b6-4c24-93f7-fca5be7f4761.jpg,one,one,0.9363,1.200,3230.207,0.007,3231.414,1
7d4bc239-a527-4566-ba33-4f1da6963ae3.jpg,pinkie,pinkie,1.0000,1.200,3230.206,0.007,3231.413,1
42403d30-55c6-4dd8-8cc9-cc57263508ee.jpg,rock,rock,1.0000,1.200,3230.211,0.007,3231.419,1
72a7fb76-3ebc-4134-8184-04a7d3d692f7.jpg,pinkie,pinkie,0.9977,1.200,3230.208,0.007,3231.416,1
9c91e6af-2ee0-4fc8-a071-0b45ccb986e1.jpg,one,one,0.9988,1.200,3230.212,0.007,3231.419,1
fa56e33c-52c4-4769-9e80-6b187b2cf801.jpg,rock,rock,1.0000,1.200,3230.208,0.007,3231.416,1
31ebb63f-2a99-4524-ae3b-054c8a53f990.jpg,others,others,0.9954,1.200,3230.205,0.007,3231.413,1
b2a95877-f61e-4f72-b9dd-1949c613bab8.jpg,others,others,1.0000,1.200,3230.207,0.007,3231.415,1
a2487d83-1c24-4823-918d-62082074d5dc.jpg,palm,palm,1.0000,1.200,3230.210,0.007,3231.418,1
84fd3c55-a4d7-4d5e-b4ba-2c66f216c6a6.jpg,fist,fist,1.0000,1.200,3230.214,0.007,3231.421,1
33d941e3-016e-451c-92d5-17bb76105a8f.jpg,others,others,0.9775,1.200,3230.215,0.007,3231.422,1
52a41f02-e3d3-45dd-9bc2-a8ed34a6360d.jpg,rock,rock,1.0000,1.200,3230.213,0.007,3231.420,1
82f07e2a-a245-4fc9-849a-36ea7c07bcb1.jpg,fist,fist,1.0000,1.200,3230.208,0.007,3231.416,1
7250fbef-127e-47eb-9d2d-4dcebd9227aa.jpg,pinkie,pinkie,1.0000,1.200,3230.213,0.007,3231.421,1
7bbff52d-7930-43e7-b5df-f64c09a43a5e.jpg,pinkie,pinkie,1.0000,1.200,3230.210,0.007,3231.418,1
139770b0-49eb-4be5-86ae-dbef1e164576.jpg,rock,rock,1.0000,1.200,3230.214,0.007,3231.421,1
721e669a-f282-4340-9632-99e841b9c9d7.jpg,rock,pinkie,0.9110,1.200,3230.212,0.007,3231.420,0
8aa95823-8060-472a-9a47-4292d0b137a7.jpg,rock,rock,1.0000,1.200,3230.214,0.007,3231.422,1
aaec1215-8e7a-48c5-b892-f6cf05146c55.jpg,others,others,1.0000,1.200,3230.206,0.007,3231.413,1
383fd300-0aac-497d-99a7-ecf2411cac76.jpg,pinkie,pinkie,1.0000,1.200,3230.216,0.007,3231.424,1
4fe9c335-64ca-4a67-84bb-669f82eca733.jpg,palm,palm,1.0000,1.200,3230.214,0.007,3231.422,1
942fbed6-7d4b-47da-97a6-5310f2b91afa.jpg,palm,palm,1.0000,1.200,3230.206,0.007,3231.414,1
88090456-53d8-4788-830a-7f5fb769bc38.jpg,pinkie,pinkie,1.0000,1.200,3230.208,0.007,3231.415,1
ca74306f-11d5-4a66-ade5-308296c1bc69.jpg,palm,palm,1.0000,1.200,3230.206,0.007,3231.414,1
fd6c1086-ed62-4fe1-b436-b6d0e896705c.jpg,pinkie,pinkie,1.0000,1.200,3230.208,0.007,3231.415,1
943132b4-24aa-43d4-879e-c202f759bfa1.jpg,others,rock,0.9696,1.200,3230.206,0.007,3231.414,0
d1a51bd4-4dc5-4fe5-9f8a-7d541d45515f.jpg,pinkie,pinkie,1.0000,1.200,3230.207,0.007,3231.415,1
53880da9-3a7f-4568-837a-4c08aaafa664.jpg,one,one,0.9999,1.200,3230.215,0.007,3231.423,1
b62bc376-436f-4a0f-b5c8-162dabb4eeb0.jpg,rock,rock,1.0000,1.200,3230.205,0.007,3231.413,1
826033f1-e3c9-4eb1-ad21-bf6c8dcdc918.jpg,others,others,0.9970,1.200,3230.212,0.007,3231.419,1
8f03b871-9c40-4a5f-a756-467e533919d7.jpg,palm,palm,1.0000,1.200,3230.212,0.007,3231.420,1
b6095416-b11b-4ee9-aa48-db779399973b.jpg,fist,fist,1.0000,1.200,3230.213,0.007,3231.420,1
4fad6fe7-535a-42e7-97ef-5fec6ab193a4.jpg,one,one,0.9997,1.200,3230.204,0.007,3231.411,1
62c5ba2b-75d2-4edf-a2d7-9853e240656c.jpg,one,one,1.0000,1.200,3230.211,0.007,3231.418,1
44170378-3980-41f5-94f5-5be51c8a1858.jpg,palm,palm,1.0000,1.200,3230.212,0.007,3231.420,1
bb00c30f-dd9c-4dc1-af19-84c5d7bbba2e.jpg,pinkie,pinkie,1.0000,1.200,3230.213,0.007,3231.421,1
98a069b9-fef6-4d0e-bd6e-093b96d4740a.jpg,palm,palm,1.0000,1.200,3230.215,0.007,3231.423,1
1617efbb-3333-44cc-bb61-45662921606b.jpg,one,one,1.0000,1.200,3230.212,0.007,3231.420,1
9dac345e-b9b6-474e-96ad-d5c7496be764.jpg,rock,rock,1.0000,1.200,3230.208,0.007,3231.416,1
7892d716-c8ac-4d24-9e8f-b7bedfb457f1.jpg,others,others,1.0000,1.200,3230.205,0.007,3231.413,1
a1ceba56-f308-428a-8100-7b0199f07327.jpg,fist,fist,1.0000,1.200,3230.209,0.007,3231.416,1
46b3bb1a-1f1f-4a99-8088-f58ed5a58b8e.jpg,fist,fist,1.0000,1.200,3230.213,0.007,3231.420,1
3aa91be8-e7e7-4e49-9574-4abe7ed2bdc8.jpg,others,others,1.0000,1.200,3230.212,0.007,3231.419,1
79681775-0557-4dfb-a7d0-4df030f6cb8a.jpg,others,others,0.9999,1.200,3230.212,0.007,3231.419,1
75c5d8da-95b2-4d4f-9fee-db9fd6f1c332.jpg,pinkie,others,0.9255,1.200,3230.212,0.007,3231.419,0
f6f48371-e9cb-4eb8-94f4-36309eb07939.jpg,one,one,1.0000,1.200,3230.211,0.007,3231.418,1
d074c775-8b77-4d26-b6a4-8f4750065b7e.jpg,rock,rock,1.0000,1.200,3230.213,0.007,3231.421,1
246ae25c-edfc-4963-8dad-607fc92070a2.jpg,fist,fist,1.0000,1.200,3230.215,0.007,3231.423,1
80bb18b3-bf40-43ad-9fbe-fd3e2fb21b10.jpg,palm,palm,1.0000,1.200,3230.213,0.007,3231.420,1
e75f8c08-ac4b-4cb6-9656-cab602684ce4.jpg,palm,palm,1.0000,1.200,3230.207,0.007,3231.415,1
e9b93bd1-8dfe-47e3-943b-c44e02cdaef9.jpg,fist,fist,1.0000,1.200,3230.213,0.007,3231.420,1
09fb227c-9e56-41f5-9688-81bda68bf83c.jpg,rock,rock,1.0000,1.200,3230.213,0.007,3231.420,1
a9952b51-ae2c-4648-b8aa-842bc6032771.jpg,others,others,0.9999,1.200,3230.207,0.007,3231.415,1
6956ca18-73e2-4ef8-8882-3531be586af3.jpg,rock,rock,1.0000,1.200,3230.208,0.007,3231.416,1
46503cd8-8317-4a9b-85c0-5919c532e209.jpg,palm,palm,1.0000,1.200,3230.212,0.007,3231.420,1
d046906a-e4fd-406e-94fe-758cbbe762ec.jpg,others,others,0.9994,1.200,3230.207,0.007,3231.415,1
2110d009-ad19-4dd0-ad42-c41a9f6957ba.jpg,rock,rock,0.9996,1.200,3230.208,0.007,3231.416,1
975b68c0-f20c-4994-9030-6e71d18d1c3a.jpg,others,others,0.9953,1.200,3230.215,0.007,3231.423,1
7d48d1b7-2d3a-4c8c-885d-16d5533440fc.jpg,palm,palm,1.0000,1.200,3230.213,0.007,3231.421,1
79cf8e42-f65d-4ab3-8d34-77c7de01a46f.jpg,pinkie,pinkie,1.0000,1.200,3230.208,0.007,3231.416,1
556311f8-b834-49c7-a0ef-802870b440d6.jpg,rock,rock,1.0000,1.200,3230.210,0.007,3231.418,1
2923059a-880e-4942-99c9-02b9550b5d40.jpg,pinkie,pinkie,0.9821,1.200,3230.213,0.007,3231.421,1
1203638d-e3d0-4b4c-8f73-351bb847a45f.jpg,fist,fist,1.0000,1.200,3230.212,0.007,3231.419,1
93218726-4101-480a-9aae-dd1793bc70a6.jpg,others,others,0.9996,1.200,3230.214,0.007,3231.421,1
79bc35c7-c15d-42a1-a53b-ad59cccc7477.jpg,pinkie,pinkie,1.0000,1.200,3230.206,0.007,3231.414,1
31127f1b-0f96-4f0b-98b4-a83f209153a3.jpg,rock,rock,1.0000,1.200,3230.205,0.007,3231.413,1
