image,gt,pred,confidence,pre_ms,infer_ms,post_ms,total_ms,correct
763996c9-579c-4c39-bc92-b69927080af6.jpg,pinkie,rock,0.4271,1.200,499.183,0.007,500.390,0
3faea15f-48cb-4582-b0cb-bfc98471a870.jpg,rock,rock,0.9999,1.200,499.183,0.007,500.390,1
1a8f8ffe-6401-4506-bc77-c3130f74804b.jpg,palm,palm,1.0000,1.200,499.183,0.008,500.391,1
b070ef03-e398-4be7-a6a6-50d5ccfa47fc.jpg,others,one,0.4209,1.200,499.183,0.007,500.390,0
64f86161-f115-4370-b29e-ac46a08f9545.jpg,pinkie,pinkie,0.9999,1.200,499.183,0.007,500.390,1
cd9cdd94-585e-4e86-a985-06634d558840.jpg,others,others,0.3502,1.200,499.182,0.007,500.390,1
8a1302fe-a94c-4310-a406-74fb8681dcb2.jpg,rock,rock,0.9993,1.200,499.183,0.007,500.390,1
fe44ca22-c1b3-4191-80d6-b213a02dfb1e.jpg,fist,fist,0.9999,1.200,499.183,0.008,500.391,1
3ac989b0-7977-4208-8e25-b039452425d3.jpg,pinkie,pinkie,0.9989,1.200,499.183,0.007,500.390,1
8b5e0032-7af8-46e9-8b08-47cf6dc0cef6.jpg,pinkie,pinkie,0.5639,1.200,499.183,0.007,500.390,1
a095b714-a9a6-418c-962f-40b0f63b5c0a.jpg,others,others,0.9476,1.200,499.183,0.007,500.390,1
32ca7728-d7d8-4733-b597-2705bc1640d9.jpg,others,others,0.9907,1.200,499.182,0.007,500.390,1
4a5e96a6-a762-40c8-8a24-f52dc6cd1108.jpg,fist,fist,1.0000,1.200,499.183,0.007,500.390,1
31959795-c07b-42b1-ba99-391f0646247f.jpg,rock,rock,0.9997,1.200,499.183,0.007,500.390,1
ce0750c7-6b13-4ffb-9c1e-e4f75f0497e1.jpg,others,others,0.9682,1.200,499.183,0.007,500.390,1
7c0cb38b-e0b5-4310-ace9-fb110cbb9da8.jpg,one,one,0.9895,1.200,499.183,0.007,500.390,1
90c163ab-d540-4d99-8c83-62519d1123e3.jpg,pinkie,pinkie,1.0000,1.200,499.183,0.007,500.390,1
5780a9a7-01a1-4bf1-925d-fd0fc65bf1d9.jpg,pinkie,pinkie,0.9916,1.200,499.183,0.007,500.390,1
e1dca112-2154-4dc1-bfc1-f1c20796560f.jpg,palm,palm,1.0000,1.200,499.183,0.007,500.390,1
0b65ecea-49a2-4c67-a8e3-5d25ddb4ff81.jpg,rock,rock,0.9794,1.200,499.183,0.007,500.390,1
de22a652-828f-4065-9ae4-fb6f60924729.jpg,rock,rock,1.0000,1.200,499.183,0.007,500.390,1
f9706c82-cf96-49c2-a79b-33c52a22512f.jpg,palm,palm,0.9990,1.200,499.183,0.007,500.390,1
6ec25e9c-e801-4aa2-b80d-6d41e71d4ea8.jpg,rock,rock,0.9847,1.200,499.182,0.007,500.390,1
55cc712b-d871-48b9-b07e-5ff154d51c8b.jpg,rock,rock,0.9999,1.200,499.182,0.007,500.390,1
bd968f0a-0be2-4f6f-8300-754a0ca125c0.jpg,pinkie,pinkie,0.8432,1.200,499.183,0.007,500.390,1
12862b30-57fb-4124-b885-d7f98f2676bf.jpg,palm,palm,0.9999,1.200,499.183,0.007,500.391,1
462e93eb-f32f-420a-a1ed-99ad45ac829a.jpg,one,one,0.9401,1.200,499.183,0.007,500.390,1
