image,gt,pred,confidence,pre_ms,infer_ms,post_ms,total_ms,correct
763996c9-579c-4c39-bc92-b69927080af6.jpg,pinkie,rock,0.4027,0.960,284.874,0.008,285.842,0
3faea15f-48cb-4582-b0cb-bfc98471a870.jpg,rock,rock,0.9998,0.960,284.875,0.008,285.843,1
1a8f8ffe-6401-4506-bc77-c3130f74804b.jpg,palm,palm,1.0000,0.960,284.875,0.008,285.843,1
b070ef03-e398-4be7-a6a6-50d5ccfa47fc.jpg,others,one,0.4559,0.960,284.875,0.008,285.843,0
64f86161-f115-4370-b29e-ac46a08f9545.jpg,pinkie,pinkie,0.9999,0.960,284.875,0.008,285.843,1
cd9cdd94-585e-4e86-a985-06634d558840.jpg,others,palm,0.3397,0.960,284.874,0.008,285.842,0
8a1302fe-a94c-4310-a406-74fb8681dcb2.jpg,rock,rock,0.9992,0.960,284.875,0.008,285.843,1
fe44ca22-c1b3-4191-80d6-b213a02dfb1e.jpg,fist,fist,0.9999,0.960,284.875,0.008,285.843,1
3ac989b0-7977-4208-8e25-b039452425d3.jpg,pinkie,pinkie,0.9991,0.960,284.875,0.008,285.843,1
8b5e0032-7af8-46e9-8b08-47cf6dc0cef6.jpg,pinkie,pinkie,0.6142,0.960,284.874,0.008,285.842,1
a095b714-a9a6-418c-962f-40b0f63b5c0a.jpg,others,others,0.9373,0.960,284.874,0.008,285.843,1
32ca7728-d7d8-4733-b597-2705bc1640d9.jpg,others,others,0.9879,0.960,284.875,0.008,285.843,1
4a5e96a6-a762-40c8-8a24-f52dc6cd1108.jpg,fist,fist,1.0000,0.960,284.874,0.008,285.843,1
31959795-c07b-42b1-ba99-391f0646247f.jpg,rock,rock,0.9997,0.960,284.874,0.008,285.843,1
ce0750c7-6b13-4ffb-9c1e-e4f75f0497e1.jpg,others,others,0.9666,0.960,284.875,0.008,285.843,1
7c0cb38b-e0b5-4310-ace9-fb110cbb9da8.jpg,one,one,0.9861,0.960,284.874,0.008,285.843,1
90c163ab-d540-4d99-8c83-62519d1123e3.jpg,pinkie,pinkie,1.0000,0.960,284.875,0.008,285.843,1
5780a9a7-01a1-4bf1-925d-fd0fc65bf1d9.jpg,pinkie,pinkie,0.9878,0.960,284.875,0.008,285.843,1
e1dca112-2154-4dc1-bfc1-f1c20796560f.jpg,palm,palm,1.0000,0.960,284.874,0.008,285.842,1
0b65ecea-49a2-4c67-a8e3-5d25ddb4ff81.jpg,rock,rock,0.9791,0.960,284.875,0.008,285.843,1
de22a652-828f-4065-9ae4-fb6f60924729.jpg,rock,rock,1.0000,0.960,284.875,0.008,285.843,1
f9706c82-cf96-49c2-a79b-33c52a22512f.jpg,palm,palm,0.9991,0.960,284.875,0.008,285.843,1
6ec25e9c-e801-4aa2-b80d-6d41e71d4ea8.jpg,rock,rock,0.9824,0.960,284.874,0.008,285.843,1
55cc712b-d871-48b9-b07e-5ff154d51c8b.jpg,rock,rock,0.9999,0.960,284.874,0.008,285.843,1
bd968f0a-0be2-4f6f-8300-754a0ca125c0.jpg,pinkie,pinkie,0.8372,0.960,284.875,0.008,285.843,1
12862b30-57fb-4124-b885-d7f98f2676bf.jpg,palm,palm,0.9999,0.960,284.874,0.008,285.843,1
462e93eb-f32f-420a-a1ed-99ad45ac829a.jpg,one,one,0.9484,0.960,284.875,0.008,285.843,1
22aba770-dbbb-405e-8a1c-9db335eaec42.jpg,rock,rock,1.0000,0.960,284.875,0.008,285.843,1
9910dfb1-e44b-4507-b358-9ba46332a951.jpg,pinkie,others,0.3870,0.960,284.875,0.008,285.843,0
15f1d23c-e7fd-417f-b03f-1998605f9f59.jpg,pinkie,pinkie,1.0000,0.960,284.874,0.008,285.843,1
fc3db9b7-092c-4fd7-bd3b-3e946ad63bfb.jpg,palm,palm,0.9679,0.960,284.874,0.008,285.843,1
42481e46-0e6c-4b0e-872f-5a4f74ca54e1.jpg,one,one,1.0000,0.960,284.875,0.008,285.843,1
7659c000-4f5f-4c5c-8c0a-a1970bc2c4bf.jpg,others,others,0.7064,0.960,284.874,0.008,285.842,1
831bfb23-4a6a-4b31-8f56-937d8bcdc469.jpg,others,pinkie,0.7144,0.960,284.875,0.008,285.843,0
81b5942f-a1e2-4d28-af30-fbc637322e0d.jpg,rock,rock,1.0000,0.960,284.875,0.008,285.843,1
16d5a320-7428-4c4c-8d66-d3eab42adfae.jpg,palm,palm,0.9931,0.960,284.874,0.008,285.842,1
bf37a635-9c54-4b7c-b96c-776dbf507ea8.jpg,pinkie,pinkie,0.9998,0.960,284.874,0.008,285.843,1
1d51ad41-7b86-4419-abd5-a19906967481.jpg,pinkie,pinkie,0.9815,0.960,284.875,0.008,285.843,1
6cdb2112-4c33-4a2a-87d0-5f0ccbdcac21.jpg,palm,palm,1.0000,0.960,284.874,0.008,285.842,1
df40c482-8db9-491d-af16-6f7ab8b97874.jpg,others,others,0.6573,0.960,284.874,0.008,285.842,1
8515750b-00ed-42c2-a17f-9122a0c2486a.jpg,one,one,0.9591,0.960,284.875,0.008,285.843,1
4fb6069f-faf0-4486-a8a1-d8bb670620fe.jpg,rock,rock,0.9118,0.960,284.874,0.008,285.842,1
ca3ab464-c1f4-4433-b89a-535a845ead5a.jpg,fist,fist,1.0000,0.960,284.874,0.008,285.843,1
d9a2b5fd-fd11-4003-96ba-c355da718356.jpg,others,others,0.9240,0.960,284.875,0.008,285.843,1
dfe057c9-32fe-4e8c-ae52-a063211d9f02.jpg,pinkie,pinkie,0.9953,0.960,284.875,0.008,285.843,1
70fa75b4-8f73-4e95-b0ec-d2638733e557.jpg,rock,rock,0.9621,0.960,284.874,0.008,285.842,1
3ef686de-530a-438e-afa5-1cb122bb0508.jpg,others,others,0.9552,0.960,284.874,0.008,285.842,1
2cf2c501-df80-4c9c-a832-85047db84dd9.jpg,rock,rock,1.0000,0.960,284.874,0.008,285.842,1
6c6366f2-83de-4c1d-b63b-53059c4bb6d4.jpg,others,others,0.9879,0.960,284.874,0.008,285.842,1
3ae7882a-77f1-4459-895c-e7ef5df7cc5f.jpg,others,others,0.7088,0.960,284.874,0.008,285.843,1
f455fd3b-3f1e-4e80-85f0-27078ebc7fd7.jpg,palm,palm,0.9996,0.960,284.874,0.008,285.842,1
42957067-a41d-4f40-80f1-2f1cbb270f3f.jpg,others,others,0.3560,0.960,284.875,0.008,285.843,1
d9ab1f96-1791-4413-bfe3-0572bdb692bf.jpg,fist,fist,0.9971,0.960,284.874,0.008,285.842,1
b9d8a069-df2f-4a75-96a3-24ed922f043f.jpg,others,others,0.9927,0.960,284.874,0.008,285.842,1
84ea9270-9bc9-4414-89c2-d34221133526.jpg,others,fist,0.4248,0.960,284.874,0.007,285.842,0
e3234252-6d26-47da-9758-8e7d85c2e7b5.jpg,one,one,0.4987,0.960,284.875,0.007,285.843,1
f3c5d332-4575-4883-9a09-29401ca16457.jpg,rock,rock,1.0000,0.960,284.875,0.008,285.843,1
82ee5d3a-9bb6-4fea-b603-f8c888fdd1b4.jpg,rock,rock,0.9126,0.960,284.874,0.008,285.843,1
45453b3a-fab1-4de1-969d-3266c477c320.jpg,pinkie,pinkie,0.9985,0.960,284.874,0.008,285.843,1
