image,gt,pred,confidence,pre_ms,infer_ms,post_ms,total_ms,correct
8521e719-05e9-426e-abd8-14f2f28452bb.jpg,fist,fist,0.5924,0.840,1677.761,0.008,1678.609,1
7f28c6f9-c59a-46aa-b982-54beac411470.jpg,palm,palm,0.9634,0.840,1677.760,0.008,1678.609,1
a245f2a6-e099-4753-899a-401b253b15f6.jpg,palm,palm,0.9791,0.840,1677.761,0.008,1678.609,1
97176b4c-c70b-4009-b67e-9d4e412f900e.jpg,fist,fist,0.9493,0.840,1677.761,0.008,1678.608,1
d5e6c115-f08c-44a8-8127-5b0aff906136.jpg,rock,rock,0.6038,0.840,1677.761,0.008,1678.609,1
76764a81-d6f7-410b-813f-974e0fc973ca.jpg,rock,rock,0.3825,0.840,1677.761,0.007,1678.608,1
4ae46057-5eff-45a9-b572-eb8760fdcf4f.jpg,rock,rock,0.9059,0.840,1677.761,0.008,1678.609,1
bae1a41b-4eb0-4ea9-9450-f1f02a077530.jpg,palm,palm,0.9894,0.840,1677.761,0.008,1678.609,1
975482e0-1ef6-4fac-9e87-9c5d1dbca6b4.jpg,fist,fist,0.3775,0.840,1677.761,0.008,1678.609,1
134288fb-731d-4603-a36c-d6c77fdc38c4.jpg,palm,palm,0.3727,0.840,1677.761,0.008,1678.609,1
6a3ad6d6-97cd-4942-a9c4-a1a9cd237d8e.jpg,fist,fist,0.9930,0.840,1677.761,0.008,1678.609,1
7fa7a0aa-82f1-451e-bdff-3a660b8a6460.jpg,fist,fist,0.9991,0.840,1677.761,0.008,1678.609,1
37311094-4854-4104-9fe0-ea2679ba7123.jpg,others,others,0.3715,0.840,1677.761,0.008,1678.609,1
4c4be109-cc6d-4ce8-9cb5-59b3c69963fd.jpg,one,one,0.3976,0.840,1677.761,0.008,1678.609,1
84a7cdc8-95a8-45bc-afbc-108a39a91670.jpg,palm,palm,0.9948,0.840,1677.761,0.008,1678.609,1
2fed9ef6-3071-4251-965b-12397897a197.jpg,one,one,0.9902,0.840,1677.761,0.008,1678.609,1
f7fb402e-6aaa-439f-ada5-5e75110c4818.jpg,pinkie,pinkie,0.6286,0.840,1677.761,0.008,1678.609,1
20df222c-b55b-4b6a-8ef7-b5f56bd8be63.jpg,palm,others,0.5747,0.840,1677.761,0.008,1678.609,0
3d26476f-de3e-489a-88d1-4d37932610ee.jpg,palm,palm,0.9910,0.840,1677.761,0.008,1678.610,1
